x,y,z
170,154,d
170,153,d
170,152,d
170,151,d
171,150,d
171,148,d
171,147,d
171,147,d
171,146,d
171,144,d
171,144,d
171,143,d
171,143,d
171,141,d
172,141,d
172,140,d
172,139,d
172,139,d
172,138,d
172,137,d
172,137,d
173,135,d
173,134,d
173,133,d
174,131,d
174,130,d
175,130,d
175,129,d
175,128,d
175,127,d
175,126,d
175,124,d
175,122,d
176,122,d
176,120,d
176,119,d
176,117,d
177,115,d
177,114,d
177,113,d
177,113,d
178,111,d
178,109,d
179,107,d
179,106,d
180,105,d
180,104,d
181,104,d
181,103,d
181,102,d
182,102,d
182,102,d
182,102,d
183,101,d
184,100,d
184,99,d
184,99,d
185,98,d
185,97,d
186,97,d
186,96,d
186,96,d
187,96,d
189,95,d
190,95,d
189,95,d
189,95,d
188,95,d
188,95,d
187,95,d
187,95,d
186,95,d
185,95,d
184,96,d
183,96,d
183,97,d
182,97,d
182,98,d
181,98,d
181,99,d
180,99,d
180,100,d
179,101,d
179,103,d
179,103,d
179,104,d
178,105,d
178,106,d
178,107,d
177,107,d
177,108,d
177,109,d
176,110,d
176,111,d
175,112,d
175,113,d
174,114,d
174,115,d
173,117,d
172,117,d
172,118,d
172,120,d
171,120,d
171,122,d
171,123,d
171,123,d
171,125,d
171,126,d
171,127,d
171,127,d
170,129,d
170,130,d
170,131,d
169,133,d
169,134,d
169,136,d
168,137,d
168,138,d
168,139,d
168,139,d
167,139,d
167,140,d
167,142,d
167,143,d
167,143,d
167,144,d
166,144,d
166,145,d
166,145,d
166,146,d
165,147,d
165,148,d
165,149,d
165,149,d
165,150,d
165,151,d
165,152,d
165,153,d
164,155,d
164,156,d
164,157,d
164,158,d
163,158,d
163,158,d
163,159,d
163,160,d
163,161,d
163,162,d
162,162,d
162,162,d
162,163,d
162,164,d
162,165,d
162,166,d
162,167,d
161,167,d
161,167,d
161,168,d
160,169,d
160,170,d
159,170,d
159,171,d
159,171,d
159,172,d
159,173,d
159,174,d
158,175,d
158,177,d
157,179,d
157,180,d
157,180,d
156,181,d
156,182,d
156,183,d
156,184,d
156,185,d
155,187,d
155,188,d
155,189,d
155,189,d
154,189,d
154,190,d
154,193,d
154,193,d
155,193,d
156,193,d
156,194,d
157,194,d
158,196,d
159,196,d
159,197,d
160,197,d
161,197,d
161,197,d
161,197,d
162,197,d
162,198,d
163,198,d
164,198,d
166,198,d
167,199,d
168,199,d
170,200,d
171,201,d
171,202,d
173,203,d
174,203,d
175,203,d
177,203,d
179,204,d
179,204,d
181,204,d
182,204,d
182,205,d
183,205,d
184,205,d
184,205,d
185,205,d
187,207,d
188,207,d
188,208,d
196,212,d
197,212,d
198,212,d
201,214,d
201,215,d
202,215,d
204,216,d
206,217,d
207,217,d
208,217,d
210,219,d
211,219,d
211,220,d
211,220,d
212,220,d
215,221,d
216,221,d
217,221,d
217,221,d
221,222,d
223,223,d
224,223,d
225,224,d
227,224,d
227,225,d
228,225,d
228,226,d
230,227,d
231,227,d
232,228,d
234,229,d
236,229,d
237,230,d
238,230,d
241,233,d
244,233,d
244,234,d
249,237,d
250,237,d
252,238,d
253,239,d
254,239,d
256,241,d
258,241,d
260,242,d
261,243,d
262,243,d
264,244,d
265,244,d
265,244,d
268,245,d
270,246,d
271,247,d
272,248,d
274,248,d
275,248,d
276,249,d
277,250,d
278,250,d
279,251,d
280,252,d
282,253,d
283,254,d
283,254,d
284,254,d
285,254,d
286,254,d
286,254,d
287,254,d
287,255,d
288,256,d
289,257,d
290,259,d
290,260,d
290,261,d
291,262,d
292,263,d
293,264,d
294,264,d
294,264,d
294,264,d
295,264,d
296,264,d
297,265,d
298,265,d
299,265,d
299,266,d
300,266,d
301,267,d
303,268,d
303,269,d
304,269,d
304,269,d
306,270,d
306,271,d
307,275,d
307,277,d
307,278,d
307,280,d
307,280,d
304,280,d
303,281,d
302,281,d
302,281,d
301,281,d
301,281,d
300,281,d
299,281,d
299,281,d
297,281,d
295,281,d
295,281,d
294,281,d
293,281,d
292,281,d
292,281,d
290,281,d
289,280,d
288,280,d
285,279,d
285,278,d
283,278,d
281,277,d
279,275,d
277,275,d
275,274,d
273,274,d
271,273,d
269,273,d
268,272,d
266,272,d
263,272,d
262,272,d
262,271,d
261,271,d
258,270,d
257,270,d
256,270,d
254,269,d
253,269,d
250,269,d
249,269,d
249,269,d
248,269,d
247,269,d
246,268,d
245,268,d
245,268,d
244,267,d
243,267,d
241,267,d
237,270,d
236,270,d
236,271,d
235,271,d
235,271,d
234,272,d
233,272,d
232,274,d
230,275,d
230,276,d
230,276,d
227,279,d
227,278,d
227,278,d
226,277,d
224,277,d
224,276,d
222,274,d
222,273,d
221,273,d
220,271,d
219,271,d
219,270,d
216,269,d
216,268,d
215,267,d
213,265,d
213,265,d
212,264,d
211,264,d
211,263,d
210,263,d
210,263,d
208,262,d
207,261,d
206,261,d
